,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
デリバティブ取引_up, debit, デリバティブ取引、流動資産、第一種金融商品取引業, Derivatives-CA-SEC, Derivatives, デリバティブ取引,tomato
デリバティブ評価損_up, debit, デリバティブ評価損、営業外費用, Loss on valuation of derivatives-NOE, Loss on valuation of derivatives, デリバティブ評価損,tomato
デリバティブ評価益_up, credit, デリバティブ評価益、営業外収益, Gain on valuation of derivatives-NOI, Gain on valuation of derivatives, デリバティブ評価益,tomato
データ伝送収入_up, credit, データ伝送収入、営業収益、電気通信事業営業損益, Digital data transmission services-OR-OIL-telecommunications, Digital data transmission services, データ伝送収入,tomato
トレーディング商品_up, debit, トレーディング商品、流動資産、第一種金融商品取引業, Trading products-CA-SEC, Trading products, トレーディング商品,tomato
トレーディング損益_up, credit, トレーディング損益、営業収益、第一種金融商品取引業, Net trading income-OR-SEC, Net trading income, トレーディング損益,tomato
ドック船台_up, debit, ドック船台, Docks and building berths, Docks and building berths, ドック船台,tomato
ドック船台（純額）_up, debit, ドック船台（純額）," Docks and building berths, net"," Docks and building berths, net", ドック船台（純額）,tomato
ハイウェイカード偽造損失補てん引当金_up, credit, ハイウェイカード偽造損失補てん引当金、流動負債、高速道路事業, Provision for loss on forged highway card-CL-HWY, Provision for loss on forged highway card, ハイウェイカード偽造損失補てん引当金,tomato
ビル業収益_up, credit, ビル業収益、その他事業収益、海運業, Building business revenue-other business revenue-WAT, Building business revenue, ビル業収益,tomato
ビル業費用_up, debit, ビル業費用、その他事業費用、海運業, Building business expenses-other business revenue-WAT, Building business expenses, ビル業費用,tomato
ファイナンス原価_up, debit, ファイナンス原価、売上原価、リース事業, Finance cost-COS-LEA, Finance cost, ファイナンス原価,tomato
ファイナンス収益_up, credit, ファイナンス収益、売上高、リース事業, Finance revenue-sales-LEA, Finance revenue, ファイナンス収益,tomato
プログラム等準備金_up, credit, プログラム等準備金, Reserve for software programs, Reserve for software programs, プログラム等準備金,tomato
ホテル事業収入_up, credit, ホテル事業収入、営業収益、開発事業、鉄道事業, Revenue-hotel-OR-development-RWY, Revenue - hotel, ホテル事業収入,tomato
ポイント引当金_up, credit, ポイント引当金、流動負債, Provision for point card certificates-CL, Provision for point card certificates, ポイント引当金,tomato
ポイント引当金戻入額_up, credit, ポイント引当金戻入額、特別利益, Reversal of provision for point card certificates-EI, Reversal of provision for point card certificates, ポイント引当金戻入額,tomato
ポイント引当金繰入額_up, debit, ポイント引当金繰入額、販売費及び一般管理費, Provision for point card certificates-SGA, Provision for point card certificates, ポイント引当金繰入額,tomato
ラジオ収入_up, credit, ラジオ収入、営業活動による収益, Income from radio business-RevOA, Income from radio business, ラジオ収入,tomato
リース債務_up, credit, リース債務、流動負債, Lease obligations-CL, Lease obligations, リース債務,tomato
リース債権_up, debit, リース債権、流動資産, Lease receivables-CA, Lease receivables, リース債権,tomato
リース債権及びリース投資資産_up, debit, リース債権及びリース投資資産、流動資産, Lease receivables and investments in leases - CA, Lease receivables and investments in leases, リース債権及びリース投資資産,tomato
リース債権及びリース投資資産（純額）_up, debit, リース債権及びリース投資資産（純額）、流動資産," Lease receivables and investments in leases, net - CA"," Lease receivables and investments in leases, net", リース債権及びリース投資資産（純額）,tomato
リース債権（純額）_up, debit, リース債権（純額）、流動資産," Lease receivables, net-CA"," Lease receivables, net", リース債権（純額）,tomato
リース原価_up, debit, リース原価、売上原価、リース事業, Lease cost-COS-LEA, Lease cost, リース原価,tomato
リース収益_up, credit, リース収益、営業活動による収益, Lease revenue-RevOA, Lease revenue, リース収益,tomato
リース売上高_up, credit, リース売上高、売上高、リース事業, Lease sales-sales-LEA, Lease sales, リース売上高,tomato
リース投資資産_up, debit, リース投資資産、資産の部, Investments in leases - assets, Investments in leases, リース投資資産,tomato
リース投資資産（純額）_up, debit, リース投資資産（純額）、流動資産," Investments in leases, net - CA"," Investments in leases, net", リース投資資産（純額）,tomato
リース解約損_up, debit, リース解約損、営業外費用, Loss on cancellation of leases-NOE, Loss on cancellation of leases, リース解約損,tomato
リース資産_up, debit, リース資産、無形固定資産, Leased assets-IA, Leased assets, リース資産,tomato
リース資産処分損引当金_up, debit, リース資産処分損引当金、有形固定資産、リース事業, Provision for loss on disposal of property for lease-PPE-LEA, Provision for loss on disposal of property for lease, リース資産処分損引当金,tomato
リース資産減損勘定_up, credit, リース資産減損勘定、流動負債, Accumulated impairment loss on leased assets-CL, Accumulated impairment loss on leased assets, リース資産減損勘定,tomato
リース資産（純額）_up, debit, リース資産（純額）、電気通信事業固定資産," Leased assets, net-NCA-telecommunications"," Leased assets, net", リース資産（純額）,tomato
レジャー事業収入_up, credit, レジャー事業収入、付帯事業、鉄道事業, Revenue - leisure - incidental businesses - RWY, Revenue - leisure, レジャー事業収入,tomato
レンタル売上高_up, credit, レンタル売上高、営業活動による収益, Rental sales-RevOA, Rental sales, レンタル売上高,tomato
ロイヤリティー収入_up, credit, ロイヤリティー収入、営業活動による収益, Royalty income-RevOA, Royalty income, ロイヤリティー収入,tomato
ローン保証引当金_up, credit, ローン保証引当金、流動負債, Provision for guarantee for loans-CL, Provision for guarantee for loans, ローン保証引当金,tomato
一時差異等調整引当額_up, credit, 一時差異等調整引当額、出資総額控除額、投資業, Allowance for temporary difference adjustments - deduction from unitholders' capital - INV, Allowance for temporary difference adjustments, 一時差異等調整引当額,tomato
